"","Variables","Accuracy","Kappa","AccuracySD","KappaSD"
"1",1,0.466666666666667,-0.032,0.269899620208444,0.508073592612531
"2",2,0.318333333333333,-0.31,0.223790526042738,0.408706271454856
"3",3,0.256666666666667,-0.444,0.210845399079338,0.40059139954292
"4",4,0.281666666666667,-0.396,0.215532089565923,0.427598896545034
"5",5,0.316666666666667,-0.324,0.234496614328479,0.467978719209168
"6",6,0.351666666666667,-0.262,0.241810302142448,0.483984314132732
"7",7,0.343333333333333,-0.266,0.243183720662928,0.48132894263737
"8",8,0.33,-0.3,0.238071427380833,0.465547735337152
"9",9,0.323333333333333,-0.334,0.23427893912,0.467127566372727
"10",10,0.34,-0.29,0.243882057662893,0.478198148666173
"11",11,0.326666666666667,-0.312,0.256347977784662,0.493897452795164
"12",12,0.34,-0.302,0.2301286241941,0.428804698420802
"13",13,0.311666666666667,-0.342,0.208798799746335,0.40862636993234
"14",14,0.318333333333333,-0.336,0.216057490039729,0.428457127614983
"15",15,0.35,-0.286,0.209604962638798,0.400005102008278
"16",16,0.341666666666667,-0.296,0.189917334923141,0.395876707254846
"17",17,0.325,-0.318,0.204990182830031,0.404913697027918
"18",18,0.318333333333333,-0.324,0.216057490039729,0.422122914684859
"19",19,0.356666666666667,-0.272,0.221466970556828,0.440333825127051
"20",20,0.321666666666667,-0.322,0.206889555033258,0.401166665960111
"21",21,0.326666666666667,-0.308,0.222615864504872,0.454833452362241
"22",22,0.353333333333333,-0.26,0.213331207472401,0.432364170012044
"23",23,0.386666666666667,-0.198,0.255750196999545,0.497540891561196
"24",24,0.353333333333333,-0.268,0.229338989014267,0.434454854280814
"25",25,0.321666666666667,-0.322,0.206889555033258,0.401166665960111
